Image Count,Property Type,Property Price,Compound,City,Governorate,Bedrooms,Bathrooms,Area
10,Villa,"12,000,000 EGP",Cairo Gate,Sheikh Zayed City,Giza, 3, 3, 209 sqm
12,Palace,"225,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 7+, 7+," 3,000 sqm"
10,Villa,"35,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 3, 4, 455 sqm
5,Villa,"45,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 4, 4, 550 sqm
21,Villa,"50,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 5, 4," 1,000 sqm"
14,Villa,"21,000,000 EGP",Etapa,Sheikh Zayed City,Giza, 6, 5, 450 sqm
10,Apartment,"7,000,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 2, 136 sqm
7,Villa,"19,000,000 EGP",Royal Meadows,Sheikh Zayed City,Giza, 6, 6, 700 sqm
6,Townhouse,"26,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 4, 5, 300 sqm
10,Apartment,"457,600 EGP",Zed Towers,Sheikh Zayed City,Giza, 3, 3, 162 sqm
10,Villa,"20,000,000 EGP",Cairo Gate,Sheikh Zayed City,Giza, 5, 5, 300 sqm
11,Apartment,"382,450 EGP",Zed Towers,Sheikh Zayed City,Giza, 2, 2, 144 sqm
11,Apartment,"2,815,800 EGP",Kayan,Sheikh Zayed City,Giza, 2, 1, 65 sqm
10,Duplex,"11,500,000 EGP",Sodic West,Sheikh Zayed City,Giza, 3, 3, 234 sqm
15,Duplex,"12,000,000 EGP",Beverly Hills,Sheikh Zayed City,Giza, 3, 3, 245 sqm
21,Villa,"10,800,000 EGP",Etapa,Sheikh Zayed City,Giza, 4, 4, 270 sqm
11,Apartment,"3,500,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 1, 1, 60 sqm
12,Apartment,"5,900,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 140 sqm
28,Apartment,"1,620,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 120 sqm
